,titleId,title,region,titleType,originalTitle,startYear,runtimeMinutes,averageRating,numVotes,genre1,genre2,genre3
730369,tt0102526,New Jack City,US,movie,New Jack City,1991,97,6.7,33901,Action,Crime,Drama
730416,tt0102536,Night on Earth,US,movie,Night on Earth,1991,129,7.7,58306,Comedy,Drama,
730541,tt0102555,Not Without My Daughter,US,movie,Not Without My Daughter,1991,116,6.4,13032,Drama,Thriller,
730566,tt0102558,Trick House,US,movie,Nothing But Trouble,1991,94,5.1,23800,Comedy,,
730672,tt0102571,Elementary School,US,movie,Obecná skola,1991,100,7.9,2924,Comedy,Drama,Family
730697,tt0102573,The Object of Beauty,US,movie,The Object of Beauty,1991,103,5.7,2089,Comedy,Crime,Drama
730772,tt0102583,"Olivier, Olivier",US,movie,"Olivier, Olivier",1992,110,7.5,1753,Drama,,
730849,tt0102587,Only Yesterday,US,movie,Omohide poro poro,1991,118,7.6,29898,Animation,Drama,Romance
730874,tt0102590,Once Around,US,movie,Once Around,1991,115,6.5,4236,Comedy,Drama,Romance
730916,tt0102592,One False Move,US,movie,One False Move,1992,105,7.1,11014,Crime,Drama,Thriller
730958,tt0102593,We're Alive,US,movie,One Good Cop,1991,114,5.9,4072,Action,Crime,Drama
731027,tt0102598,Only the Lonely,US,movie,Only the Lonely,1991,104,6.4,10924,Comedy,Romance,
731077,tt0102603,Oscar,US,movie,Oscar,1991,109,6.5,31070,Comedy,Crime,
731105,tt0102609,Other People's Money,US,movie,Other People's Money,1991,103,6.2,8557,Comedy,Drama,Romance
731161,tt0102614,Out for Justice,US,movie,Out for Justice,1991,91,6.1,22885,Action,Crime,Drama
731292,tt0102629,"Attention, Papa Arrives!",US,movie,Pappa ante Portas,1991,89,7.9,5196,Comedy,Family,
731308,tt0102631,Paradise,US,movie,Paradise,1991,111,6.7,2860,Drama,,
731329,tt0102638,Paris Trout,US,movie,Paris Trout,1991,100,6.4,1541,Drama,,
731371,tt0102645,Flowers of Stone,US,movie,Patthar Ke Phool,1991,155,5.7,1073,Action,Drama,Romance
731452,tt0102655,The Perfect Weapon,US,movie,The Perfect Weapon,1991,90,6.0,4031,Action,Crime,Drama
731540,tt0102667,Speaking of the Devil,US,movie,Un piede in paradiso,1991,95,6.1,1109,Comedy,Fantasy,
731564,tt0102674,The Pistol: The Birth of a Legend,US,movie,The Pistol: The Birth of a Legend,1991,90,6.9,1311,Biography,Drama,Sport
731616,tt0102685,Johnny Utah,US,movie,Point Break,1991,122,7.3,170628,Action,Crime,Thriller
731671,tt0102687,Poison,US,movie,Poison,1991,85,6.4,4282,Drama,Horror,Romance
731682,tt0102690,Popcorn,US,movie,Popcorn,1991,91,5.8,4406,Comedy,Horror,
731712,tt0102691,The Pope Must Diet,US,movie,The Pope Must Die,1991,97,5.1,1517,Comedy,,
731877,tt0102713,The Prince of Tides,US,movie,The Prince of Tides,1991,132,6.8,17557,Drama,Romance,
731932,tt0102719,Problem Child 2,US,movie,Problem Child 2,1991,90,4.9,21772,Comedy,Family,
731959,tt0102721,Proof,US,movie,Proof,1991,86,7.2,6550,Drama,Romance,
731968,tt0102722,Prospero's Books,US,movie,Prospero's Books,1991,124,6.9,6276,Drama,Fantasy,
732079,tt0102729,Pure Luck,US,movie,Pure Luck,1991,96,5.8,6956,Comedy,Crime,Mystery
732164,tt0102741,Queens Logic,US,movie,Queens Logic,1991,100,5.9,1625,Comedy,Drama,
732219,tt0102749,A Rage in Harlem,US,movie,A Rage in Harlem,1991,115,5.9,2105,Comedy,Crime,
732260,tt0102753,Rambling Rose,US,movie,Rambling Rose,1991,112,6.6,4875,Drama,,
732299,tt0102757,The Rapture,US,movie,The Rapture,1991,100,6.3,5245,Drama,Mystery,
732395,tt0102768,Regarding Henry,US,movie,Regarding Henry,1991,108,6.7,31241,Drama,Romance,
732484,tt0102782,Return to the Blue Lagoon,US,movie,Return to the Blue Lagoon,1991,102,5.2,19304,Adventure,Drama,Romance
732558,tt0102789,Ricochet,US,movie,Ricochet,1991,102,6.2,17284,Action,Crime,Drama
732634,tt0102797,Robin Hood,US,movie,Robin Hood,1991,104,5.8,5021,Action,Adventure,Drama
732656,tt0102798,Robin Hood: Prince of Thieves,US,movie,Robin Hood: Prince of Thieves,1991,143,6.9,186449,Action,Adventure,Drama
732721,tt0102802,Rock-A-Doodle 3D,US,movie,Rock-A-Doodle,1991,74,6.1,9154,Adventure,Animation,Comedy
732779,tt0102803,The Rocketeer,US,movie,The Rocketeer,1991,108,6.5,55810,Action,Adventure,Family
732822,tt0102812,Roujin Z,US,movie,Rôjin Z,1991,80,6.8,2552,Animation,Comedy,Drama
732825,tt0102813,Rover Dangerfield,US,movie,Rover Dangerfield,1991,74,6.0,3038,Animation,Comedy,Family
732859,tt0102816,Center Stage,US,movie,Ruan Ling Yu,1991,126,7.5,2039,Biography,Drama,Romance
732879,tt0102817,Rubin and Ed,US,movie,Rubin and Ed,1991,82,7.1,1824,Comedy,Drama,
732888,tt0102818,Run,US,movie,Run,1991,91,6.2,2773,Action,Drama,Thriller
732939,tt0102820,Rush,US,movie,Rush,1991,120,6.8,8513,Action,Crime,Drama
732964,tt0102825,Beloved,US,movie,Saajan,1991,193,7.3,6569,Drama,Musical,Romance
733021,tt0102835,Unfaithful Beloved,US,movie,Sanam Bewafa,1991,160,5.4,1290,Drama,Romance,
733063,tt0102844,Saudagar,US,movie,Saudagar,1991,213,6.8,1364,Action,Drama,Romance
733100,tt0102848,Scanners II: The New Order,US,movie,Scanners II: The New Order,1991,104,5.3,3104,Action,Horror,Sci-Fi
733114,tt0102849,Scenes from a Mall,US,movie,Scenes from a Mall,1991,89,5.4,4903,Comedy,,
733163,tt0102855,Scream of Stone,US,movie,Cerro Torre: Schrei aus Stein,1991,105,6.2,1350,Drama,,
733188,tt0102860,Scissors,US,movie,Scissors,1991,105,5.2,2886,Horror,Thriller,
733413,tt0102898,Shakes the Clown,US,movie,Shakes the Clown,1991,87,5.6,5006,Comedy,Crime,Drama
733434,tt0102900,Shattered,US,movie,Shattered,1991,98,6.5,9303,Crime,Drama,Mystery
733511,tt0102910,Shock 'Em Dead,US,movie,Shock 'Em Dead,1991,93,5.0,1046,Horror,Music,Thriller
733544,tt0102913,Shout,US,movie,Shout,1991,89,5.3,1939,Drama,Music,Romance
733571,tt0102915,Sgt. K.,US,movie,Showdown in Little Tokyo,1991,79,6.1,17818,Action,Comedy,Crime
733679,tt0102926,Silence of the Lambs,US,movie,The Silence of the Lambs,1991,118,8.6,1342115,Crime,Drama,Horror
733746,tt0102932,A Chinese Ghost Story III,US,movie,Sien lui yau wan III: Dou dou dou,1991,104,6.6,2544,Action,Comedy,Fantasy
